Column 1,Item,Net Weight/Volume,Price (Peso),Contains Allergens,Processsed in a place that may contain these allergens,Nutritional Facts,Ingredients,Other Information,Done,Price ($),Total Done:,191
1,555_FRIED_SARDINES_ESCABECHE_155G,155g,39,Soybeans/Soy/Soya,None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 80, Calories from Fat: 20, Total Fat: 2g, Saturated Fat: 0.5g, Trans Fat: 0g, Cholesterol: 30mg, Sodium: 220mg, Total Carbohydrates: 8g, Dietary Fiber: 0g, Sugars: 5g, Protein: 7g","Fried Sardines, Tomato Sauce, Sugar, Vinegar, Bell Pepper, Carrots, Ginger, lodized Salt, Spices, Seasonings, and Thickeners (Cornstarch, Modified Starch, Xanthan Gum).",,TRUE,0.69,,
2,555_FRIED_SARDINES_TAUSI_155G,155g,37,"Fish, Soybeans/Soy/Soya, Milk, Seasame",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 90, Calories from Fat: 25, Total Fat: 3g, Saturated Fat: 2g, Trans Fat: 0g, Cholesterol: 25mg, Sodium: 380mg, Total Carbohydrates: 7g, Dietary Fiber: less than 1g, Sugars: 4g, Protein: 10g","Fried Sardines, Tomato Sauce, Black Beans, Sugar, Soya Oil, Spices, lodized Salt, Seasonings, and Thickeners (Cornstarch, Xanthan Gum).",,TRUE,0.65,,
3,555_HOT_SARDINES_IN_TOMATO_SAUCE,155g,29,"Fish, Soybeans/Soy/Soya",None,"Serving Size: 56g, Servings per Container: about 3, Calories: 50, Calories from Fat: 20, Total Fat: 2g, Saturated Fat: 1.5g, Trans Fat: 0g, Omega-3: 735mg, DHA: 241mg, Cholesterol: 25mg, Sodium: 240mg, Total Carbohydrates: 2g, Dietary Fiber: 0g, Sugars: 0g, Protein: 6g","Sardines, Tomato Sauce [Water, Tomato Paste, Thickeners (Cornstarch, Modified Starch, Xanthan Gum), Seasonings], lodized Salt, Sugar, Vegetable Oil, Spices, and Chili.",,TRUE,0.51,,
4,555_TUNA_AFRITADA_155G,155g,34,"Fish, Soybeans/Soy/Soya",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 60, Calories from Fat: 30, Total Fat: 3g, Saturated Fat: 1.5g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 380mg, Total Carbohydrates: 4g, Dietary Fiber: less than 1g, Sugars: 3g, Protein: 5g, Vitamin A: 1701 IU","Tuna Flakes, Tomato Sauce (Water, Tomato Paste), Soy Protein Concentrate, Potatoes, Carrots, Soy Sauce, Vegetable Oil (Palm Olein, Soya Oil), Spices, Cheese, MSG (Flavor Enhancer), Iodized Salt, Thickeners(Cornstarch, Xanthan Gum), Seasonings, Vitamin A (Fortificant)",,TRUE,0.6,,
5,555_TUNA_CALDERETA_155G,155g,34,"Fish, Soybeans/Soy/Soya",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 60, Calories from Fat: 10, Total Fat: 1g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 5mg, Sodium: 430mg, Total Carbohydrates: 7g, Dietary Fiber: less than 1g, Sugars: 3g, Protein: 5g, Vitamin A: 2148 IU","Tuna Flakes, Tomato Sauce (Water, Tomato Paste), Soy Protein Concentrate, Potatoes, Vegetable Oil (Palm Olein, Soya Oil), Freen Peas, Sugar, Bell Pepper, Spices, Iodized Salt, Soy Sauce, MSG (Flavor Enhancer), Thickeners(Cornstarch, Xanthan Gum), Seasonings, Vitamin A (Fortificant)",,TRUE,0.6,,
6,555_TUNA_FLAKES_IN_OIL_155G,155g,27,"Fish, Soybeans/Soy/Soya",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 80, Calories from Fat: 60, Total Fat: 7g, Saturated Fat: 3.5g, Trans Fat: 0g, Cholesterol: 5mg, Sodium: 320mg, Total Carbohydrates: 0g, Dietary Fiber: 0g, Sugars: 0g, Protein: 4g, Vitamin A: 1774 IU","Tuna Flakes, Water, Soy Protein Concentrate, Vegetable Oil (Palm Olein, Soya Oil), Iodized Salt, Sugar, Spices, MSG (Flavor Enhancer), Chili, Seasonings, Vitamin A (Fortificant)",,TRUE,0.47,,
7,555_TUNA_HOT&SPICY_155G,155g,36,"Fish, Soybeans/Soy/Soya",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 70, Calories from Fat: 40, Total Fat: 4.5g, Saturated Fat: 2.5g, Trans Fat: 0g, Cholesterol: 10mg, Sodium: 330mg, Total Carbohydrates: 3g, Dietary Fiber: 0g, Sugars: 2g, Protein: 4g, Vitamin A: 1767 IU","Tuna Flakes, Water, Soy Protein Concentrate, Vegetable Oil (Palm Olein, Soya Oil), Iodized Salt, Sugar, Spices, MSG (Flavor Enhancer), Chili, Seasonings, Bay Leaf, Vitamin A (Fortificant)",,TRUE,0.63,,
8,ABSOLUTE_PURE_500ML,500ml,21,None,None,,,,FALSE,0.37,,
9,AJINOMOTO_SOUP&GO_CREAMY_CORN_3x19.2G,57.6g,85,"Milk, Wheat/Cereals/Gluten, Soybeans/Soy/Soya",None,"Serving Size: 1 sachet (19.2g), Servings per Container: 3, Calories: 77, Total Fat: 2g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 411mg, Total Carbohydrate: 15g, Dietary Fiber: 5g, Sugars: 5g, Protein: 1g","Corn Powder, Potato Starch, Sugar, Creaming Powder [Starch Syrup, Palm Oil, Casein, Acidity Regulators (Disodium Hydrogen Phosphate, Trisodium Citrate, Sodium Dihydrogen Phosphate, Sodium Hydroxide), Emulsifiers (Sorbitan Fatty Acid Ester, Lecithin)], Maltodextrin, Skim Milk Powder, Lactose, Salt, Refined Palm Oil, Corn Fat, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate), Guar Gum (Thickener), Yeast Extract, Onion Powder, Artificial Corn Flavor Powder, White Pepper",,TRUE,1.5,,
10,AJINOMOTO_SOUP&GO_CREAMY_POTATO_3x19.2G,57.6g,85,"Milk, Wheat/Cereals/Gluten, Soybeans/Soy/Soya, Fish",None,"Serving Size: 1 sachet (15.8g), Servings per Container: 3, Calories: 62, Total Fat: 1g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 1mg, Sodium: 417mg, Total Carbohydrate: 11g, Dietary Fiber: less than 1g, Sugars: 3g, Protein: 1g","Potato Starch, Maltodextrin, Creaming Powder [Starch Syrup, Palm Oil, Casein, Acidity Regulators (Disodium Hydrogen Phosphate, Trisodium Citrate, Sodium Dihydrogen Phosphate, Sodium Hydroxide). Emulsifiers (Sorbitan Fatty Acid Ester, Lecithin)], Sugar, Salt, Sweetened Powdered Milk (Sugar, Whole Milk Powder, Maltodextrin), Skim Milk Powder, Onion Fat, Mushed Potato Powder, Refined Palm Oil, Onion Powder, Whole Milk Powder, Flavor Enhancers (Monosodium Glutamate, Disodium 5-Inosinate), Cheese Powder, Yeast Extract, Guar Gum (Thickener), White Pepper, Turmeric, Dry Parsley, Celery Seed, Laurel",,TRUE,1.5,,
11,AJINOMOTO_SOUP&GO_CREAMY_PUMPKIN_3x19.2G,57.6g,85,"Milk, Wheat/Cereals/Gluten, Soybeans/Soy/Soya",None,"Serving Size: 1 sachet (18.1g), Servings per Container: 3, Calories: 75, Total Fat: 2g, Saturated Fat: 2g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 393mg, Total Carbohydrate: 13g, Dietary Fiber: 1g, Sugars: 3g, Protein: 1g","Skim Milk Powder Preparation (Sugar, Skim Milk Powder, Maltodextrin), Potato Starch, Pumpkin Powder, Creaming Powder (Starch Syrup, Palm Oil, Casein, Acidity Regulators (Disodium Hydrogen Phosphate, Trisodium Citrate, Sodium Dihydrogen Phosphate, Sodium Hydroxide), Emulsifiers (Sorbitan Fatty Acid Ester, Lecithin)], Refined Palm Oil, Salt, Maltodextrin, Mashed Potato Powder, Skim Milk Powder, Onion Powder, Yeast Extract, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate), Dry Parsley, White Pepper, Nutmeg, Laurel, Cinnamon",,TRUE,1.5,,
12,ARGENTINA_CORNED_BEEF_175G,175g,45,Soybeans/Soy/Soya,None,"Serving Size: 56g, Servings Per Container: about 2, Calories: 90, Calories from Fat: 45, Total Fat: 5g, Saturated Fat: 3g, Trans Fat: 0g, Cholesterol: 15mg, Sodium: 260mg, Total Carbohydrates: 5g, Dietary Fiber: 1g, Sugars: 0g, Protein: 6g, Zinc: 30%(RENI), Iron: 35%(RENI)","Cooked Beef, Beef Broth, Soy Protein, Iodized Salt, Sugar, Spices, MSG (Flavor Enhancer), Sodium Tripolyphosphate (water Retention Agent), Sodium Erythorbate (antioxidant), Sodium Nitrate (Color Retention Agent), Fortified with Zinc and Iron",,TRUE,0.79,,
13,ARGENTINA_FIESTA_SAUSAGE_175G,175g,30,"Soybeans/Soy/Soya, Eggs",None,"Serving Size: 56g, Servings Per Container: about 1, Calories: 45, Calories from Fat: 9, Total Fat: 1g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 8mg, Sodium: 351g, Total Carbohydrates: 6g, Dietary Fiber: 1g, Sugars: 4g, Protein: 3g","Meat (Mechanically Separated Chicken and Beef), Water, Vegetable Protein, Iodized Salt, Sugar, Starch, Egg, Spices, MSG (Flavor Enhancer), Sodium Tripolyphosphate (Water Retention Agent), Sodium Erythorbate (Antioxidant), Sodium Nitrate (Color Retention Agent), FD&C Red #3 (Coloring Agent)",,TRUE,0.53,,
