Column 1,Item,Net Weight/Volume,Price (Peso),Price ($),Allergens,Nutritional Facts,Ingredients
1,555_FRIED_SARDINES_ESCABECHE_155G,155g,39,0.69,,,
2,555_FRIED_SARDINES_TAUSI_155G,155g,37,0.65,,,
3,555_HOT_SARDINES_IN_TOMATO_SAUCE,155g,29,0.51,,,
4,555_TUNA_AFRITADA_155G,155g,34,0.6,,,
5,555_TUNA_CALDERETA_155G,155g,34,0.6,,,
6,555_TUNA_FLAKES_IN_OIL_155G,155g,27,0.47,,,
7,555_TUNA_HOT&SPICY_155G,155g,36,0.63,,,
8,ABSOLUTE_PURE_500ML,500ml,21,0.37,,,
9,AJINOMOTO_SOUP&GO_CREAMY_CORN_3x19.2G,57.6g,85,1.5,,,
10,AJINOMOTO_SOUP&GO_CREAMY_POTATO_3x19.2G,57.6g,85,1.5,,,
11,AJINOMOTO_SOUP&GO_CREAMY_PUMPKIN_3x19.2G,57.6g,85,1.5,,,
12,ARGENTINA_CORNED_BEEF_175G,175g,45,0.79,,,
13,ARGENTINA_FIESTA_SAUSAGE_175G,175g,30,0.53,,,
14,ARGENTINA_LIVER_SPREAD_85G,85g,29,0.51,,,
15,ARGENTINA_MEAT_LOAF_100G,100g,22,0.39,,,
16,ARGENTINA_MEATLOAF_170G,170g,27,0.47,,,
17,BAUER_FRUFRU_150G,150g,55,0.97,,,
18,BINGO_CORNED_BEEF_150G,150g,21,0.37,,,
19,BISSIN_BLACKCURRANTWAFERS_PREMIUM_100G,100g,60,1.06,,,
20,BONGGA_CARNE_NORTE_150G,150g,23,0.4,,,
21,BOY_BAWANG_CORNICK_CHILI_CHEESE_FLAVOR_80G,80g,21,0.37,,,
22,CDO_BEEF_LOAF_150G,150g,22,0.39,,,
23,CDO_HOME_STYLE_CORNED_BEEF_150G,150g,38,0.67,,,
24,CDO_KARNE_NORTE_CLASSIC_100G,100g,25,0.44,,,
25,CDO_KARNE_NORTE_CLASSIC_150G,150g,35,0.62,,,
26,CDO_MEAT_LOAF_100G,100g,26,0.46,,,
27,CENTURY_TUNA_FLAKES_IN_BRINE_155G,155g,53,0.93,,,
28,CENTURY_TUNA_FLAKES_IN_OIL_155G,155g,44,0.77,,,
29,CENTURY_TUNA_HOT_AND_SPICY_155G,155g,43,0.76,,,
30,CENTURY_TUNA_WITH_CALAMANSI_155G,155g,37,0.65,,,
31,CERES_APPLE_1L,1L,160,2.81,,,
